City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
146,Muli,MV,82.94,light rain,2.9167,73.5667,Medhufushi Island Resort
148,Ceres,US,75.79,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
149,Pout,SN,86.76,few clouds,14.7739,-17.0603,chez sada niang
150,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
151,Ponta Do Sol,PT,80.01,clear sky,32.6667,-17.1,Hotel do Campo
152,Boa Esperanca,BR,76.71,broken clouds,-21.09,-45.5658,Hotel do Lago
158,Sao Filipe,CV,76.23,few clouds,14.8961,-24.4956,Hotel Xaguate
160,Manpur,IN,76.89,light rain,22.4333,75.6167,Manpur Guest House PWD
162,Faya,SA,75.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
164,Saint Anthony,US,84.94,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
165,Iralaya,HN,84.22,clear sky,15.0,-83.2333,Iglesia morava renovada
167,Sur,OM,84.38,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
168,Yanam,IN,80.15,light rain,16.7333,82.2167,The Regency Hotel
169,Marsa Matruh,EG,82.69,clear sky,31.3525,27.2453,Beau Site
170,Santo Amaro Da Imperatriz,BR,81.64,broken clouds,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
172,Karpathos,GR,78.76,clear sky,35.507,27.2132,Alex
173,Challans,FR,81.52,clear sky,46.8436,-1.8749,Citotel Le Challans
175,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
179,Formosa,AR,76.98,broken clouds,-26.1775,-58.1781,Asterión Departamentos
183,Veraval,IN,81.37,overcast clouds,20.9,70.3667,Lords Inn Somnath
184,Chardara,KZ,78.19,clear sky,41.2547,67.9692,Жанаргул
185,Nizwa,OM,81.37,overcast clouds,22.9333,57.5333,Orient Apartments
188,Takoradi,GH,78.4,broken clouds,4.8845,-1.7554,Raybow International Hotel
192,Zemio,CF,77.13,overcast clouds,5.0314,25.1361,OCHA Office
196,Bengkulu,ID,77.22,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
201,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
204,Alghero,IT,78.89,clear sky,40.5589,8.3181,Smy Carlos V Alghero
210,Les Cayes,HT,86.83,clear sky,18.2,-73.75,Villa Orphee
213,Ponta Delgada,PT,75.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
215,Ndjole,GA,86.94,overcast clouds,-0.1783,10.7649,Motel Kédyann
219,Bennington,US,79.63,broken clouds,42.8781,-73.1968,Best Western Bennington
220,The Valley,AI,87.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
221,Oktyabrskoye,RU,75.34,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
224,Khash,IR,83.64,broken clouds,28.2211,61.2158,خوابگاه آبجی محدثه
225,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
227,Dingle,PH,76.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
229,Aneho,TG,79.81,broken clouds,6.2333,1.6,Hotel La Linette
230,Nisia Floresta,BR,81.41,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
231,Sarakhs,IR,85.69,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
232,Lazurne,UA,81.64,clear sky,46.084,32.5295,New Manna Hostel
234,Belize,BZ,85.95,few clouds,17.25,-88.75,Villa San Juan
243,Kamyshin,RU,76.03,clear sky,50.0983,45.416,Guest House Aviator
244,Albion,US,78.85,scattered clouds,42.2431,-84.753,Days Inn by Wyndham Albion
248,Muros,ES,87.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
251,Kalmunai,LK,84.11,overcast clouds,7.4167,81.8167,VS Villa
