City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Grosseto,IT,2022-07-07 15:51:25,42.8333,11.25,92.89,59,20,18.41,few clouds
169,Voyvozh,RU,2022-07-07 15:51:25,62.892,54.9635,75.42,50,65,3.87,broken clouds
170,Kijabe,KE,2022-07-07 15:51:25,-0.933,36.5758,60.4,80,98,3.0,overcast clouds
171,Harper,LR,2022-07-07 15:51:26,4.375,-7.7169,77.85,78,94,10.33,overcast clouds
172,Chimbote,PE,2022-07-07 15:50:25,-9.0853,-78.5783,66.06,71,37,7.09,scattered clouds
173,Tete,MZ,2022-07-07 15:51:26,-16.1564,33.5867,82.49,39,40,10.36,scattered clouds
174,Massape,BR,2022-07-07 15:51:26,-3.5228,-40.3428,81.32,69,97,7.49,overcast clouds
175,Salalah,OM,2022-07-07 15:48:54,17.0151,54.0924,78.89,100,100,4.61,light intensity drizzle
176,Lebu,CL,2022-07-07 15:47:53,-37.6167,-73.65,49.98,73,58,5.68,broken clouds
177,Boa Vista,BR,2022-07-07 15:48:18,2.8197,-60.6733,85.98,66,75,8.05,broken clouds
178,Velyka Oleksandrivka,UA,2022-07-07 15:51:27,47.3197,33.3037,91.22,18,3,10.54,clear sky
179,Turukhansk,RU,2022-07-07 15:51:28,65.8167,87.9833,54.9,68,96,7.4,overcast clouds
180,Cabedelo,BR,2022-07-07 15:51:28,-6.9811,-34.8339,79.47,84,93,18.37,overcast clouds
181,Berlevag,NO,2022-07-07 15:51:28,70.8578,29.0864,59.0,82,75,4.61,broken clouds
182,Atar,MR,2022-07-07 15:49:15,20.5169,-13.0499,111.94,9,1,10.02,clear sky
183,Brae,GB,2022-07-07 15:51:30,60.3964,-1.353,54.14,97,80,21.25,light rain
184,Biankouma,CI,2022-07-07 15:51:30,7.7391,-7.6138,78.08,84,61,1.1,moderate rain
185,Thinadhoo,MV,2022-07-07 15:51:31,0.5333,72.9333,82.8,74,100,4.38,heavy intensity rain
186,Tacoronte,ES,2022-07-07 15:51:31,28.4769,-16.4102,79.45,71,20,23.02,few clouds
187,Pampas,PE,2022-07-07 15:51:31,-12.4,-74.9,58.26,42,4,6.4,clear sky
188,Bartica,GY,2022-07-07 15:51:32,6.4,-58.6167,79.12,92,55,5.08,broken clouds
189,Mzimba,MW,2022-07-07 15:51:32,-11.9,33.6,58.51,67,53,7.9,broken clouds
190,Nova Vicosa,BR,2022-07-07 15:51:33,-17.8919,-39.3719,77.13,65,54,7.27,broken clouds
191,Beni,CD,2022-07-07 15:51:33,0.5,29.4667,72.73,58,50,3.11,scattered clouds
192,Bubaque,GW,2022-07-07 15:51:33,11.2833,-15.8333,80.83,82,77,11.39,broken clouds
193,Shu,KZ,2022-07-07 15:49:30,43.5983,73.7614,71.82,29,22,2.95,few clouds
194,Borazjan,IR,2022-07-07 15:51:34,29.2666,51.2159,102.65,16,47,6.08,scattered clouds
195,Umba,RU,2022-07-07 15:51:34,66.6871,34.3429,58.77,68,87,6.96,overcast clouds
196,Maragogi,BR,2022-07-07 15:48:26,-9.0122,-35.2225,79.52,78,1,13.49,clear sky
197,Bad Freienwalde,DE,2022-07-07 15:51:34,52.7873,14.0304,70.56,93,99,6.2,light rain
198,Clarence Town,AU,2022-07-07 15:51:35,-32.5833,151.7833,52.86,90,18,8.3,few clouds
199,Amelia,IT,2022-07-07 15:51:35,42.5523,12.4182,81.95,69,65,6.11,light rain
200,Sakskobing,DK,2022-07-07 15:51:35,54.7997,11.626,66.11,78,24,14.56,few clouds
201,Jorpeland,NO,2022-07-07 15:51:35,59.0225,6.0408,61.11,70,28,16.69,scattered clouds
202,Caravelas,BR,2022-07-07 15:51:36,-17.7125,-39.2481,78.57,60,66,7.7,broken clouds
203,Shache,CN,2022-07-07 15:49:33,38.4167,77.2406,89.11,19,99,4.59,overcast clouds
204,Margate,GB,2022-07-07 15:47:10,51.3813,1.3862,72.3,60,23,4.0,few clouds
205,Matay,EG,2022-07-07 15:51:36,28.419,30.7792,96.84,8,0,12.35,clear sky
206,Mogadishu,SO,2022-07-07 15:51:37,2.0371,45.3438,76.53,81,24,20.11,few clouds
207,Kamenka,RU,2022-07-07 15:51:37,51.3223,42.7678,76.12,52,1,4.21,clear sky
208,Bilma,NE,2022-07-07 15:49:13,18.6853,12.9164,105.53,8,3,5.39,clear sky
209,Saint-Pierre,RE,2022-07-07 15:49:37,-21.3393,55.4781,71.28,76,0,23.02,clear sky
210,Luanda,AO,2022-07-07 15:49:18,-8.8368,13.2343,72.23,76,17,12.93,few clouds
211,Antalaha,MG,2022-07-07 15:51:37,-14.9003,50.2788,69.19,82,15,11.9,light rain
212,Antofagasta,CL,2022-07-07 15:51:38,-23.65,-70.4,67.21,56,0,6.62,clear sky
213,Havelock,US,2022-07-07 15:49:30,34.8791,-76.9013,91.06,76,20,11.5,few clouds
214,Skjervoy,NO,2022-07-07 15:51:38,70.0311,20.9714,60.8,86,68,5.06,light rain
215,Agadez,NE,2022-07-07 15:41:45,19.75,10.25,100.58,9,3,9.73,clear sky
216,Kyzyl-Suu,KG,2022-07-07 15:51:38,42.3414,78.0056,58.37,85,17,1.16,few clouds
217,Albany,US,2022-07-07 15:49:02,42.6001,-73.9662,79.57,57,46,1.01,scattered clouds
218,Areka,ET,2022-07-07 15:51:39,7.0667,37.7,60.33,91,93,4.03,overcast clouds
219,Medea,DZ,2022-07-07 15:51:39,36.2642,2.7539,82.98,45,0,9.95,clear sky
220,Daud Khel,PK,2022-07-07 15:51:39,32.875,71.5701,93.52,52,22,1.52,few clouds
221,Kalulushi,ZM,2022-07-07 15:51:40,-12.8378,28.0919,65.23,39,0,3.13,clear sky
222,Monrovia,LR,2022-07-07 15:51:40,6.3005,-10.7969,82.17,75,53,11.63,light rain
223,Mariental,NA,2022-07-07 15:51:40,-24.6333,17.9667,70.56,18,0,6.24,clear sky
224,Kozluk,TR,2022-07-07 15:51:41,38.1938,41.4885,95.25,24,37,2.28,scattered clouds
225,Marzuq,YE,2022-07-07 15:51:41,14.4,46.4667,88.43,25,100,2.13,overcast clouds
226,Sechura,PE,2022-07-07 15:41:55,-5.5569,-80.8222,71.22,61,0,7.36,clear sky
227,Sursk,RU,2022-07-07 15:51:41,53.0754,45.6846,73.0,64,71,2.04,broken clouds
228,Yarmouth,US,2022-07-07 15:51:42,41.7057,-70.2286,80.96,59,0,8.05,clear sky
229,Senno,RU,2022-07-07 15:51:42,59.5336,33.9167,59.27,97,100,7.0,overcast clouds
230,Teguise,ES,2022-07-07 15:51:42,29.0605,-13.564,75.42,61,0,23.02,clear sky
231,Codrington,AU,2022-07-07 15:48:33,-38.2667,141.9667,51.37,70,92,20.54,overcast clouds
232,Eastleigh,GB,2022-07-07 15:51:43,50.9667,-1.35,77.11,52,40,2.3,scattered clouds
233,Jucuaran,SV,2022-07-07 15:51:43,13.2539,-88.2478,83.21,45,40,2.59,scattered clouds
234,Sao Filipe,CV,2022-07-07 15:48:26,14.8961,-24.4956,76.23,73,19,11.54,few clouds
235,Viedma,AR,2022-07-07 15:48:32,-40.8135,-62.9967,51.33,29,2,24.4,clear sky
236,Adrar,MR,2022-07-07 15:51:43,20.5022,-10.0711,107.98,12,8,11.72,clear sky
237,Novaya Ladoga,RU,2022-07-07 15:51:44,60.1025,32.3019,58.84,93,100,8.61,overcast clouds
238,Gesves,BE,2022-07-07 15:51:44,50.4015,5.0746,66.15,57,98,12.41,overcast clouds
239,Reconquista,AR,2022-07-07 15:50:13,-29.15,-59.65,64.4,52,95,17.96,overcast clouds
240,Artvin,TR,2022-07-07 15:51:44,41.1667,41.8333,73.49,77,4,4.29,clear sky
241,Abonnema,NG,2022-07-07 15:51:45,4.7084,6.7931,80.17,79,100,9.1,light rain
242,Paraiba Do Sul,BR,2022-07-07 15:51:45,-22.1619,-43.2928,82.92,38,7,4.09,clear sky
243,Cockburn Town,TC,2022-07-07 15:51:36,21.4612,-71.1419,81.7,79,0,19.6,clear sky
244,Prestea,GH,2022-07-07 15:51:45,5.4327,-2.1428,79.52,81,93,6.29,light rain
245,Grindavik,IS,2022-07-07 15:48:42,63.8424,-22.4338,50.47,93,100,26.46,overcast clouds
246,Vangaindrano,MG,2022-07-07 15:51:46,-23.35,47.6,66.38,80,0,4.41,clear sky
