City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Bredasdorp,ZA,2022-07-05 18:45:02,-34.5322,20.0403,54.66,71,95,1.21
95,Asosa,ET,2022-07-05 18:45:03,10.0667,34.5333,60.69,91,65,4.12
96,Ribeira Grande,PT,2022-07-05 18:45:03,38.5167,-28.7,70.2,68,75,6.91
97,Tabou,CI,2022-07-05 18:45:04,4.423,-7.3528,77.52,79,59,10.36
98,Tasiilaq,GL,2022-07-05 18:45:04,65.6145,-37.6368,46.56,81,94,3.65
99,Huarmey,PE,2022-07-05 18:45:05,-10.0681,-78.1522,68.61,69,2,14.05
100,Maldonado,UY,2022-07-05 18:45:05,-34.6667,-54.9167,54.79,73,74,6.49
101,Souillac,MU,2022-07-05 18:45:06,-20.5167,57.5167,68.38,77,20,5.75
102,Bambous Virieux,MU,2022-07-05 18:45:06,-20.3428,57.7575,68.25,77,20,5.75
103,Skibbereen,IE,2022-07-05 18:45:06,51.55,-9.2667,65.1,79,100,6.38
104,Reconquista,AR,2022-07-05 18:45:08,-29.15,-59.65,60.4,77,100,6.6
105,Pangnirtung,CA,2022-07-05 18:45:08,66.1451,-65.7125,44.6,81,75,17.27
106,Kampene,CD,2022-07-05 18:45:09,-3.6,26.6667,72.32,44,0,1.41
107,Thiruvananthapuram,IN,2022-07-05 18:44:44,8.4833,76.9167,76.98,88,75,4.61
108,Lastoursville,GA,2022-07-05 18:45:09,-0.8143,12.7287,76.5,74,100,2.82
109,Karlstad,SE,2022-07-05 18:45:10,59.3793,13.5036,64.96,45,20,9.22
110,Kishapu,TZ,2022-07-05 18:45:10,-3.6167,33.8667,72.0,33,12,5.48
111,Altay,CN,2022-07-05 18:45:10,47.8667,88.1167,56.88,82,99,4.5
112,Taoudenni,ML,2022-07-05 18:45:11,22.6783,-3.9836,109.87,5,12,10.65
113,Lagoa,PT,2022-07-05 18:45:11,39.05,-27.9833,65.34,83,100,13.0
114,Korla,CN,2022-07-05 18:45:12,41.7597,86.1469,85.98,25,0,18.7
115,Barra Dos Coqueiros,BR,2022-07-05 18:45:12,-10.9089,-37.0386,80.62,65,20,11.5
116,Parkersburg,US,2022-07-05 18:43:54,39.2667,-81.5615,72.21,83,100,5.75
117,Qaanaaq,GL,2022-07-05 18:45:13,77.484,-69.3632,46.58,50,88,2.24
118,Marawi,PH,2022-07-05 18:45:13,7.9986,124.2928,68.94,95,100,2.89
119,Fomboni,KM,2022-07-05 18:45:14,-12.28,43.7425,76.82,73,71,10.54
120,Sudak,UA,2022-07-05 18:42:33,44.85,34.9667,75.11,55,0,3.85
121,Bengkulu,ID,2022-07-05 18:45:14,-3.8004,102.2655,76.03,88,98,4.36
122,Muli,MV,2022-07-05 18:45:15,2.9167,73.5667,81.05,81,100,15.39
123,Bandundu,CD,2022-07-05 18:45:15,-3.3167,17.3667,82.0,29,18,1.52
124,Praia,CV,2022-07-05 18:45:15,14.9215,-23.5087,81.14,61,20,14.97
125,Abalak,RU,2022-07-05 18:45:16,58.1286,68.5944,54.01,70,100,7.38
126,Matiri,TZ,2022-07-05 18:45:16,-10.75,34.9,52.12,78,10,3.02
127,Raduzhnyy,RU,2022-07-05 18:45:17,62.0961,77.475,53.78,62,66,7.92
128,Torbay,CA,2022-07-05 18:43:18,47.6666,-52.7314,70.88,44,20,21.85
129,Adrar,MR,2022-07-05 18:45:17,20.5022,-10.0711,107.22,7,60,10.78
130,Yar-Sale,RU,2022-07-05 18:45:18,66.8333,70.8333,53.65,96,99,5.39
131,Paamiut,GL,2022-07-05 18:45:18,61.994,-49.6678,41.52,98,100,5.35
132,Tiznit,MA,2022-07-05 18:45:19,29.5833,-9.5,75.38,50,7,5.06
133,Mayor Pablo Lagerenza,PY,2022-07-05 18:45:19,-19.9309,-60.7718,95.94,24,56,13.6
134,Ouadda,CF,2022-07-05 18:45:20,8.0777,22.4007,69.01,91,100,1.59
135,Victoria,HK,2022-07-05 18:44:02,22.2855,114.1577,84.38,88,100,8.99
136,Old Saybrook,US,2022-07-05 18:45:18,41.2918,-72.3762,83.14,62,20,8.05
137,Cabedelo,BR,2022-07-05 18:46:21,-6.9811,-34.8339,83.07,75,11,14.05
138,Touros,BR,2022-07-05 18:46:21,-5.1989,-35.4608,79.7,72,0,15.1
139,Saint George,US,2022-07-05 18:43:38,37.1041,-113.5841,99.63,18,0,6.91
140,Koster,ZA,2022-07-05 18:46:21,-25.863,26.8976,53.31,48,0,3.96
141,Los Llanos De Aridane,ES,2022-07-05 18:46:22,28.6585,-17.9182,69.55,79,75,16.11
142,Saint-Francois,FR,2022-07-05 18:46:22,46.4154,3.9054,76.44,44,0,10.36
143,Natal,BR,2022-07-05 18:43:47,-5.795,-35.2094,84.42,65,20,13.8
144,Carutapera,BR,2022-07-05 18:46:23,-1.195,-46.02,79.99,85,51,7.9
145,Foumbot,CM,2022-07-05 18:46:23,5.5079,10.6356,64.92,95,71,0.69
146,Sao Filipe,CV,2022-07-05 18:46:23,14.8961,-24.4956,75.11,84,45,6.55
147,Salalah,OM,2022-07-05 18:46:24,17.0151,54.0924,80.69,89,100,5.75
148,Mahibadhoo,MV,2022-07-05 18:46:24,3.7833,72.9667,81.46,79,100,15.68
149,Berlevag,NO,2022-07-05 18:46:25,70.8578,29.0864,60.6,93,100,13.8
150,Sao Felix Do Xingu,BR,2022-07-05 18:42:10,-6.6447,-51.995,92.98,30,44,4.83
151,Luau,AO,2022-07-05 18:46:25,-10.7073,22.2247,66.06,35,8,1.97
152,Mahebourg,MU,2022-07-05 18:46:25,-20.4081,57.7,68.29,77,20,5.75
153,Bolobo,CD,2022-07-05 18:46:26,-2.1667,16.2333,79.14,43,8,3.04
154,Ribeira Brava,PT,2022-07-05 18:46:27,32.65,-17.0667,71.71,74,13,2.37
155,Horni Plana,CZ,2022-07-05 18:46:27,48.7674,14.0326,66.04,89,15,1.14
156,Chepareria,KE,2022-07-05 18:46:27,1.3077,35.2039,63.0,75,100,4.68
157,Ilo,PE,2022-07-05 18:46:27,-17.6394,-71.3375,63.46,72,100,9.22
158,Olafsvik,IS,2022-07-05 18:46:28,64.8945,-23.7142,53.06,76,100,6.87
159,Iraquara,BR,2022-07-05 18:46:28,-12.2486,-41.6194,81.75,26,0,12.21
160,Arvika,SE,2022-07-05 18:46:28,59.6553,12.5852,65.01,59,100,7.54
161,Marsa Matruh,EG,2022-07-05 18:46:29,31.3525,27.2453,79.0,73,0,8.05
162,Atar,MR,2022-07-05 18:46:29,20.5169,-13.0499,100.96,16,96,7.43
163,Koltubanovskiy,RU,2022-07-05 18:46:29,52.9407,52.0269,52.74,88,13,5.26
164,Ust-Tsilma,RU,2022-07-05 18:46:29,65.441,52.1498,64.11,89,25,1.97
165,Lahij,YE,2022-07-05 18:46:30,13.1667,44.5833,93.09,34,84,8.81
166,Alta Floresta,BR,2022-07-05 18:46:30,-9.8756,-56.0861,93.02,31,0,3.44
167,Normal,US,2022-07-05 18:42:35,40.5142,-88.9906,97.18,54,0,16.11
168,Codrington,AU,2022-07-05 18:46:31,-38.2667,141.9667,40.55,95,17,6.91
169,Iskateley,RU,2022-07-05 18:46:31,67.6803,53.1512,51.64,82,0,6.62
170,Moroni,KM,2022-07-05 18:46:31,-11.7022,43.2551,77.0,69,20,4.61
171,Codajas,BR,2022-07-05 18:46:31,-3.8367,-62.0569,88.77,52,21,4.45
172,Beloha,MG,2022-07-05 18:46:32,-25.1667,45.05,64.83,90,0,7.58
173,Chapais,CA,2022-07-05 18:46:32,49.7834,-74.8492,65.98,36,100,7.05
174,Alcudia,ES,2022-07-05 18:46:32,39.8532,3.1214,85.37,75,100,6.26
175,Taltal,CL,2022-07-05 18:46:33,-25.4,-70.4833,63.3,64,100,5.37
176,Rudnya,RU,2022-07-05 18:46:33,54.947,31.0934,65.25,79,100,7.05
177,Port Washington,US,2022-07-05 18:46:33,40.8257,-73.6982,86.29,58,75,17.27
